Wall time,Step,Value
1674230168.285914,564,-11.946610450744629
1674230168.35299,568,-11.943224906921387
1674230168.408367,571,-11.94068431854248
1674230168.440399,573,-11.938989639282227
1674230168.492735,576,-11.936448097229004
1674230168.557912,580,-11.933058738708496
1674230168.62516,584,-11.929667472839355
1674230168.636289,585,-11.92881965637207
1674230168.646887,586,-11.927971839904785
1674230168.671184,588,-11.926275253295898
1674230168.694749,590,-11.924579620361328
1674230168.706593,591,-11.923730850219727
1674230168.717696,592,-11.922883033752441
1674230168.741474,594,-11.921186447143555
1674230168.763758,596,-11.919489860534668
1674230168.775992,597,-11.918641090393066
1674230168.787062,598,-11.917792320251465
1674230168.797623,599,-11.916943550109863
1674230168.821418,601,-11.915246963500977
1674230168.838511,602,-11.914398193359375
1674230168.851925,603,-11.913549423217773
1674230168.880945,605,-11.91185188293457
1674230168.92175,608,-11.909305572509766
1674230168.95257,610,-11.907608032226562
1674230169.001719,613,-11.905060768127441
1674230169.013239,614,-11.90421199798584
1674230169.035586,616,-11.90251350402832
1674230169.055272,618,-11.900815963745117
1674230169.074297,620,-11.899117469787598
1674230169.092683,622,-11.897418975830078
1674230169.102237,623,-11.896570205688477
1674230169.129058,626,-11.894022941589355
1674230169.146477,628,-11.892324447631836
1674230169.15801,629,-11.891475677490234
1674230169.193958,633,-11.888078689575195
1674230169.212088,635,-11.886381149291992
1674230169.230099,637,-11.884682655334473
1674230169.258087,640,-11.882135391235352
1674230169.264644,641,-11.88128662109375
1674230169.275183,642,-11.880437850952148
1674230169.281631,643,-11.87958812713623
1674230169.29204,644,-11.878739356994629
1674230169.29858,645,-11.877890586853027
1674230169.338805,649,-11.874494552612305
1674230169.35617,651,-11.872797012329102
1674230169.363115,652,-11.8719482421875
1674230169.374049,653,-11.871099472045898
1674230169.381256,654,-11.870250701904297
1674230169.391877,655,-11.869401931762695
1674230169.417651,658,-11.86685562133789
1674230169.427866,659,-11.866006851196289
1674230169.43757,660,-11.865158081054688
1674230169.51066,667,-11.85921859741211
1674230169.544362,670,-11.856673240661621
1674230169.607301,675,-11.852432250976562
1674230169.619195,676,-11.851584434509277
1674230169.631108,677,-11.850736618041992
1674230169.663408,680,-11.848193168640137
1674230169.681009,682,-11.846497535705566
1674230169.692679,683,-11.845649719238281
1674230169.699401,684,-11.844801902770996
1674230169.726405,687,-11.842259407043457
1674230169.765599,692,-11.83802318572998
1674230169.781608,694,-11.836328506469727
1674230169.792617,695,-11.835481643676758
1674230169.798818,696,-11.834634780883789
1674230169.810471,697,-11.83378791809082
1674230169.827441,699,-11.832094192504883
1674230169.853588,702,-11.829553604125977
1674230169.864967,703,-11.828707695007324
1674230169.889367,705,-11.827014923095703
1674230169.943825,709,-11.823629379272461
1674230169.955793,710,-11.822783470153809
1674230169.987258,712,-11.821091651916504
1674230170.032255,715,-11.818553924560547
1674230170.056955,717,-11.816863059997559
1674230170.078321,719,-11.81517219543457
1674230170.08699,720,-11.814326286315918
1674230170.09658,721,-11.813481330871582
1674230170.113608,723,-11.81179141998291
1674230170.131572,725,-11.810101509094238
1674230170.142361,726,-11.809256553649902
1674230170.148946,727,-11.808411598205566
1674230170.159322,728,-11.80756664276123
1674230170.166019,729,-11.806721687316895
1674230170.183296,731,-11.805032730102539
1674230170.194201,732,-11.80418872833252
1674230170.202844,733,-11.8033447265625
